customer_id,email,first_name,last_name,phone,address,city,state,zip_code,country,segment,registration_date,is_active,created_at,updated_at
1,figueroajohn@example.org,Jill,Rhodes,+1-219-560-0133,79402 Peterson Drives Apt. 511,Davisstad,PA,35172,USA,occasional,2025-04-29,True,2025-04-29,2026-01-19 11:52:06.995652
2,yherrera@example.org,Andrea,Calderon,+1-659-931-0341x316,55341 Amanda Gardens Apt. 764,Lake Mark,WI,07832,USA,regular,2025-08-30,True,2025-08-30,2026-01-19 11:52:06.996124
3,trujillorichard@example.org,Jason,Hahn,001-653-876-7242x388,3287 Katelyn Wall Apt. 226,South Patrickmouth,NC,33454,USA,occasional,2024-07-04,True,2024-07-04,2026-01-19 11:52:06.996688
4,frazierdanny@example.net,Karen,Mack,514-462-7048x28148,88095 Smith Lake Suite 303,North Jessicaland,WV,70323,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:06.997262
5,donnaarroyo@example.org,Joseph,Brennan,(738)234-6578x71331,301 Jeremy Bypass,Chadbury,KY,88185,USA,regular,2025-07-31,True,2025-07-31,2026-01-19 11:52:06.997745
6,jenniferkhan@example.net,Thomas,Mueller,(331)516-5667x01065,87262 Ford Well,South Lindseyside,CT,07131,USA,regular,2025-01-07,True,2025-01-07,2026-01-19 11:52:06.998214
7,novaksara@example.org,Gabriel,Tucker,660.826.0647,34309 Julie Centers Apt. 978,North Susan,CO,24857,USA,premium,2024-05-09,True,2024-05-09,2026-01-19 11:52:06.998689
8,leonardjoe@example.org,Shelly,Hudson,001-790-691-6998,534 Anderson Rue,Stephenland,AL,60569,USA,occasional,2024-03-09,True,2024-03-09,2026-01-19 11:52:06.999173
9,jonesjason@example.com,David,Bailey,235-642-7849,41182 Campbell Fords,Jamesview,NY,64533,USA,regular,2025-04-16,True,2025-04-16,2026-01-19 11:52:06.999637
10,davisrodney@example.com,Bradley,Cook,(342)478-6801,9826 Bobby Lakes,West Jasonbury,TN,13974,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:07.000089
11,vdickson@example.org,Sara,Young,(426)302-5634,73375 Hoover Well Apt. 303,Murphyland,WI,37086,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:07.000518
12,ifrazier@example.com,Sheila,Wilson,329-840-1965x569,0608 Michael Cliff,Cindyville,VA,39864,USA,regular,2024-10-01,True,2024-10-01,2026-01-19 11:52:07.000883
13,snguyen@example.com,Angela,Lee,+1-762-999-4680x44369,3872 Justin Shore Suite 134,Port James,AK,06558,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:07.001284
14,xcarr@example.org,Stanley,Mercado,001-836-576-3201,870 Samantha Crossing,Andersonmouth,TN,70117,USA,premium,2023-07-16,True,2023-07-16,2026-01-19 11:52:07.001689
15,stephanie79@example.net,Patricia,Simmons,+1-972-577-4348,1434 Flores Plains Apt. 223,Bensonborough,CA,54878,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:07.002167
16,nperry@example.com,Perry,Carrillo,001-509-967-0546x688,6706 Caldwell Union,Ramseymouth,PW,17229,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:07.002610
17,meadowsbrittany@example.net,Anthony,Day,(772)704-6537,6417 Kaitlyn Center Suite 310,East Jamestown,RI,20474,USA,occasional,2026-01-03,False,2026-01-03,2026-01-19 11:52:07.003033
18,kcaldwell@example.org,Steven,Scott,(829)891-2419x049,93149 Laura Port,West Amandastad,CA,66818,USA,regular,2024-07-11,True,2024-07-11,2026-01-19 11:52:07.003428
