order_id,customer_id,order_date,status,subtotal,shipping,tax,total,payment_method,shipping_address,shipping_city,shipping_state,shipping_zip,created_at,updated_at
1,835,2025-12-21 20:04:20.084888,completed,218.54,0.0,17.48,236.02,credit_card,1855 Vang Path,South Sheila,MN,94071,2025-12-21 20:04:20.084888,2025-12-22 20:04:20.084888
2,633,2025-06-04 21:34:09.528146,cancelled,618.45,0.0,49.48,667.93,credit_card,43586 Travis Lodge Apt. 251,Port Stephen,HI,52174,2025-06-04 21:34:09.528146,2025-06-09 21:34:09.528146
3,469,2025-12-02 00:17:56.003106,processing,216.74,0.0,17.34,234.08,debit_card,73920 Jessica Stream Apt. 546,Lake Bryan,MH,21350,2025-12-02 00:17:56.003106,2025-12-05 00:17:56.003106
4,533,2025-10-13 22:50:48.465711,completed,154.3,0.0,12.34,166.64,credit_card,0018 Jennifer Locks,Wellsport,NY,09277,2025-10-13 22:50:48.465711,2025-10-15 22:50:48.465711
5,945,2025-04-17 08:23:40.580789,completed,414.92,0.0,33.19,448.11,debit_card,484 Holly Walk Suite 235,Kimside,ID,84374,2025-04-17 08:23:40.580789,2025-04-17 08:23:40.580789
6,427,2024-07-30 01:24:22.459244,processing,628.48,0.0,50.28,678.76,credit_card,308 Tyler Cliffs,Johnfurt,ME,27927,2024-07-30 01:24:22.459244,2024-08-01 01:24:22.459244
7,688,2023-10-27 09:18:09.736482,shipped,304.9,0.0,24.39,329.29,paypal,63066 Ryan Branch Suite 028,Lake Cynthiaview,MP,01551,2023-10-27 09:18:09.736482,2023-10-28 09:18:09.736482
8,352,2026-01-18 05:39:10.092463,completed,2168.93,0.0,173.51,2342.44,credit_card,43244 Baker Overpass,Bethstad,WI,84626,2026-01-18 05:39:10.092463,2026-01-19 05:39:10.092463
9,876,2025-07-30 05:01:36.355990,processing,553.26,0.0,44.26,597.52,credit_card,924 Ortiz Plaza Apt. 410,West Christian,CO,26453,2025-07-30 05:01:36.355990,2025-07-31 05:01:36.355990
10,710,2026-01-19 02:34:24.360170,processing,841.78,0.0,67.34,909.12,paypal,5539 Vanessa Wells Apt. 737,West Brandymouth,NM,79475,2026-01-19 02:34:24.360170,2026-01-22 02:34:24.360170
11,447,2026-01-19 10:13:05.537838,completed,313.03,0.0,25.04,338.07,credit_card,69362 Payne Glens,North Vickie,GA,05411,2026-01-19 10:13:05.537838,2026-01-22 10:13:05.537838
12,230,2025-07-18 05:11:20.091159,returned,3840.23,0.0,307.22,4147.45,debit_card,846 Cheryl Unions,Nicolemouth,SC,34758,2025-07-18 05:11:20.091159,2025-07-19 05:11:20.091159
13,749,2025-02-15 18:24:23.353643,returned,464.88,0.0,37.19,502.07,credit_card,4370 Christina Throughway Suite 391,Lake Shannonfort,NE,55645,2025-02-15 18:24:23.353643,2025-02-15 18:24:23.353643
14,605,2024-07-02 22:26:25.673810,processing,205.46,0.0,16.44,221.9,credit_card,522 Jackson Ville Suite 251,Wilsonhaven,MD,64628,2024-07-02 22:26:25.673810,2024-07-04 22:26:25.673810
15,246,2026-01-12 17:37:51.803662,returned,281.48,0.0,22.52,304.0,debit_card,3027 Makayla Rapids Apt. 859,Stevensshire,AZ,97139,2026-01-12 17:37:51.803662,2026-01-16 17:37:51.803662
16,649,2026-01-18 16:00:50.443172,cancelled,152.19,0.0,12.18,164.37,paypal,017 Stephenson Trace Apt. 316,South Paige,AZ,45384,2026-01-18 16:00:50.443172,2026-01-23 16:00:50.443172
17,294,2024-10-08 22:12:06.717033,shipped,222.64,0.0,17.81,240.45,credit_card,768 Elizabeth Green Apt. 016,Tabithaport,GA,26532,2024-10-08 22:12:06.717033,2024-10-11 22:12:06.717033
18,192,2025-12-14 08:11:01.166399,completed,3608.21,0.0,288.66,3896.87,credit_card,7158 Megan Estates Apt. 257,West Frank,KY,47839,2025-12-14 08:11:01.166399,2025-12-17 08:11:01.166399
19,959,2026-01-15 13:16:13.388518,completed,627.06,0.0,50.16,677.22,debit_card,1645 Alexis Keys,Olsenview,MT,57560,2026-01-15 13:16:13.388518,2026-01-17 13:16:13.388518
20,60,2025-11-03 18:20:05.790570,cancelled,342.46,0.0,27.4,369.86,paypal,122 Morris Gateway Apt. 463,Molinamouth,ME,76845,2025-11-03 18:20:05.790570,2025-11-07 18:20:05.790570
21,254,2025-01-16 17:32:22.139393,completed,181.9,0.0,14.55,196.45,apple_pay,6897 Mathew Stravenue Suite 323,North Michellestad,NM,53526,2025-01-16 17:32:22.139393,2025-01-20 17:32:22.139393
22,45,2025-09-24 16:10:22.179504,completed,4546.27,0.0,363.7,4909.97,credit_card,41036 Brown Villages Suite 980,Lake Douglas,NE,00706,2025-09-24 16:10:22.179504,2025-09-28 16:10:22.179504
23,659,2025-11-18 09:23:42.447570,completed,2385.99,0.0,190.88,2576.87,debit_card,01223 Miller Port Apt. 900,Fostermouth,AZ,18114,2025-11-18 09:23:42.447570,2025-11-18 09:23:42.447570
24,64,2024-11-26 00:47:10.218675,cancelled,747.21,0.0,59.78,806.99,paypal,95995 Kevin Divide Apt. 644,New Stacyburgh,SC,89466,2024-11-26 00:47:10.218675,2024-11-28 00:47:10.218675
25,834,2026-01-17 08:20:13.449581,completed,272.52,0.0,21.8,294.32,paypal,947 Reilly Courts Suite 602,Courtneyville,WI,25852,2026-01-17 08:20:13.449581,2026-01-19 08:20:13.449581
26,477,2026-01-19 00:42:04.070716,returned,122.58,0.0,9.81,132.39,apple_pay,6464 Palmer Via,Port Jeremiahville,MN,32147,2026-01-19 00:42:04.070716,2026-01-19 00:42:04.070716
27,724,2023-11-30 05:03:04.660316,cancelled,1081.94,0.0,86.56,1168.5,credit_card,02302 Sawyer Rue Suite 052,West Joyce,CT,38416,2023-11-30 05:03:04.660316,2023-12-02 05:03:04.660316
28,696,2026-01-14 15:48:34.155693,processing,669.28,0.0,53.54,722.82,apple_pay,75699 James Forges Apt. 006,Traciborough,TX,20781,2026-01-14 15:48:34.155693,2026-01-14 15:48:34.155693
29,82,2025-07-28 01:41:09.157988,cancelled,4378.88,0.0,350.31,4729.19,credit_card,27706 Wendy Curve,Erikview,CO,86299,2025-07-28 01:41:09.157988,2025-07-30 01:41:09.157988
30,116,2025-03-27 09:23:11.127992,shipped,1023.73,0.0,81.9,1105.63,paypal,799 Craig Ville Suite 608,North Oscarton,TN,07920,2025-03-27 09:23:11.127992,2025-03-29 09:23:11.127992
31,192,2025-12-13 08:33:07.149163,cancelled,107.29,0.0,8.58,115.87,apple_pay,7158 Megan Estates Apt. 257,West Frank,KY,47839,2025-12-13 08:33:07.149163,2025-12-18 08:33:07.149163
32,66,2025-07-17 16:55:22.499041,returned,514.49,0.0,41.16,555.65,credit_card,546 Ferguson Knolls,Josehaven,FM,65680,2025-07-17 16:55:22.499041,2025-07-18 16:55:22.499041
33,260,2025-06-19 15:01:59.367161,completed,775.63,0.0,62.05,837.68,apple_pay,71487 Peggy Crescent,Batesbury,IA,28241,2025-06-19 15:01:59.367161,2025-06-23 15:01:59.367161
34,55,2025-12-24 05:50:07.680825,cancelled,46.44,14.99,3.72,65.15,apple_pay,25787 Catherine Passage,West Sarah,MD,21800,2025-12-24 05:50:07.680825,2025-12-25 05:50:07.680825
35,194,2026-01-11 18:12:10.687630,returned,1467.0,0.0,117.36,1584.36,apple_pay,342 David Common,Vazquezville,CA,02965,2026-01-11 18:12:10.687630,2026-01-11 18:12:10.687630
36,693,2025-12-13 09:04:47.900030,completed,630.1,0.0,50.41,680.51,apple_pay,693 Rivera Crossing Apt. 359,Bakerside,NH,52403,2025-12-13 09:04:47.900030,2025-12-17 09:04:47.900030
37,823,2024-12-24 00:39:30.642845,completed,176.64,0.0,14.13,190.77,debit_card,80351 Vincent Pike,Jessicaside,GA,94644,2024-12-24 00:39:30.642845,2024-12-28 00:39:30.642845
38,51,2025-05-03 05:45:20.559614,completed,753.87,0.0,60.31,814.18,apple_pay,018 Kevin Estates Suite 358,Meghanview,ID,83739,2025-05-03 05:45:20.559614,2025-05-06 05:45:20.559614
39,322,2025-04-22 20:31:56.608154,processing,145.6,0.0,11.65,157.25,paypal,619 David Path Suite 117,North Carolyn,MA,03455,2025-04-22 20:31:56.608154,2025-04-26 20:31:56.608154
40,377,2025-11-24 03:32:28.222739,shipped,2455.4,0.0,196.43,2651.83,paypal,96003 Simmons Green Apt. 958,Valdezborough,WI,75793,2025-11-24 03:32:28.222739,2025-11-26 03:32:28.222739
41,587,2026-01-09 07:12:54.070848,shipped,191.16,0.0,15.29,206.45,apple_pay,01878 Joe Key,Aguirreton,TN,10191,2026-01-09 07:12:54.070848,2026-01-14 07:12:54.070848
42,775,2026-01-18 01:12:18.206534,processing,391.71,0.0,31.34,423.05,apple_pay,735 King Landing Apt. 451,Oscarchester,MH,72455,2026-01-18 01:12:18.206534,2026-01-21 01:12:18.206534
43,649,2026-01-19 09:13:09.549993,cancelled,145.98,0.0,11.68,157.66,debit_card,017 Stephenson Trace Apt. 316,South Paige,AZ,45384,2026-01-19 09:13:09.549993,2026-01-21 09:13:09.549993
44,581,2025-11-18 17:52:37.633670,completed,2068.36,0.0,165.47,2233.83,apple_pay,584 Jordan Islands Suite 631,East Sarahside,MN,06800,2025-11-18 17:52:37.633670,2025-11-19 17:52:37.633670
45,145,2025-07-19 07:15:13.536936,shipped,890.7,0.0,71.26,961.96,debit_card,294 Ortiz Islands Apt. 181,Port Sharonburgh,VI,04600,2025-07-19 07:15:13.536936,2025-07-24 07:15:13.536936
46,767,2025-08-26 19:21:21.179663,shipped,1281.45,0.0,102.52,1383.97,credit_card,1908 Ramirez View,South Natalie,MO,85920,2025-08-26 19:21:21.179663,2025-08-29 19:21:21.179663
47,471,2026-01-18 21:27:03.110152,completed,498.15,0.0,39.85,538.0,paypal,283 John Causeway,East Amberland,MA,69323,2026-01-18 21:27:03.110152,2026-01-21 21:27:03.110152
48,424,2024-08-21 18:51:57.332154,completed,225.99,0.0,18.08,244.07,apple_pay,16600 Reynolds Mountain,Thompsontown,OK,06272,2024-08-21 18:51:57.332154,2024-08-22 18:51:57.332154
49,651,2026-01-19 01:43:22.320361,processing,803.55,0.0,64.28,867.83,paypal,6765 Shawn Expressway,Michaelborough,OR,64628,2026-01-19 01:43:22.320361,2026-01-24 01:43:22.320361
50,635,2025-10-27 23:52:57.559098,completed,88.08,0.0,7.05,95.13,debit_card,4411 Ellen Ridge,Schroederside,OH,11027,2025-10-27 23:52:57.559098,2025-10-31 23:52:57.559098
